Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22uF","C_0805_2012Metric",184.404000,-126.619000,0.000000,top
"C2","22uF","C_0805_2012Metric",184.150000,-111.252000,0.000000,top
"C3","47uF","C_1206_3216Metric",188.849000,-122.555000,270.000000,top
"C4","22pF","C_0603_1608Metric",178.943000,-122.047000,90.000000,top
"C5","22pF","C_0603_1608Metric",179.070000,-106.172000,90.000000,top
"C6","22uF","C_0805_2012Metric",184.404000,-129.413000,0.000000,top
"C7","22uF","C_0805_2012Metric",184.150000,-113.919000,0.000000,top
"C8","47uF","C_1206_3216Metric",177.304700,-101.765100,270.000000,top
"C9","47uF","C_1206_3216Metric",174.764700,-101.765100,270.000000,top
"C10","47uF","C_1206_3216Metric",172.224700,-101.765100,270.000000,top
"C11","47uF","C_1206_3216Metric",169.684700,-101.765100,270.000000,top
"C12","4.7uF","C_1206_3216Metric",106.314240,-85.465920,90.000000,top
"C13","4.7uF","C_1206_3216Metric",94.107000,-92.837000,180.000000,top
"C14","100nF","C_0805_2012Metric",93.980000,-90.170000,180.000000,top
"C15","22uF","C_0805_2012Metric",160.594040,-122.651520,270.000000,top
"C16","1nF","C_0603_1608Metric",161.417000,-130.937000,0.000000,top
"C17","1nF","C_0805_2012Metric",161.417000,-126.619000,180.000000,top
"C18","18pF","C_0603_1608Metric",101.219000,-109.220000,180.000000,top
"C19","100n","C_0805_2012Metric",118.684040,-111.353600,270.000000,top
"C20","18pF","C_0603_1608Metric",101.219000,-105.537000,180.000000,top
"C21","100nF","C_0805_2012Metric",105.216960,-111.638080,180.000000,top
"C22","100nF","C_0805_2012Metric",117.251480,-100.076000,90.000000,top
"C23","100nF","C_0805_2012Metric",119.956580,-105.476040,270.000000,top
"C24","100uF","C_1206_3216Metric",122.435620,-105.516680,270.000000,top
"C25","10uF","C_1206_3216Metric",195.580000,-67.056000,180.000000,top
"C26","100nF","C_0805_2012Metric",195.834000,-69.850000,180.000000,top
"C27","100nF","C_0805_2012Metric",95.250000,-52.705000,270.000000,top
"C28","100nF","C_0805_2012Metric",124.460000,-52.705000,270.000000,top
"C29","100nF","C_0805_2012Metric",102.870000,-52.705000,270.000000,top
"C30","100nF","C_0805_2012Metric",132.715000,-52.705000,270.000000,top
"C31","100nF","C_0805_2012Metric",153.670000,-52.705000,270.000000,top
"C32","100nF","C_0805_2012Metric",182.880000,-52.705000,270.000000,top
"C33","100nF","C_0805_2012Metric",161.925000,-52.705000,270.000000,top
"C34","100nF","C_0805_2012Metric",191.135000,-52.705000,270.000000,top
"CN1","USB_B_Micro","USB_Micro-B_Molex_47346-0001",191.822500,-130.915000,0.000000,top
"CN3","MicroSD","microSD_HC_Hirose_DM3D-SF",90.170000,-102.870000,270.000000,top
"CN8","FPC15","TE_1-84952-5_1x15-1MP_P1.0mm_Horizontal",201.930000,-78.740000,90.000000,top
"CN15","QWIIC#1","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",99.060000,-35.560000,180.000000,top
"CN16","QWIIC#2","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",128.270000,-35.560000,180.000000,top
"CN17","GROVE#1","JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal",157.480000,-35.560000,180.000000,top
"CN18","GROVE#2","JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal",186.690000,-35.560000,180.000000,top
"D1","BAV99","SOT-23",140.533120,-130.840480,0.000000,top
"D2","BAV99","SOT-23",140.573760,-126.695200,0.000000,top
"D3","RCLAMP0524P","RCLAMP0524P",151.404320,-119.588280,180.000000,top
"D4","BAV99","SOT-23",147.645120,-121.208800,270.000000,top
"D5","RCLAMP0524P","RCLAMP0524P",154.589480,-119.608600,180.000000,top
"D6","BAV99","SOT-23",143.845280,-121.208800,270.000000,top
"F1","MSMF200","Fuse_1812_4532Metric",193.294000,-122.936000,270.000000,top
"L1","2.2uH 3A","L_Sunlord_MWSA0518_5.4x5.2mm",177.927000,-128.905000,180.000000,top
"L2","2.2uH 3A","L_Sunlord_MWSA0518_5.4x5.2mm",177.800000,-113.538000,180.000000,top
"L3","Bead","L_0805_2012Metric",163.322000,-122.682000,90.000000,top
"LD1","3v3","LED_0805_2012Metric",169.418000,-130.302000,270.000000,top
"LD2","ACT","LED_0805_2012Metric",189.357000,-92.964000,90.000000,top
"LD3","WiFi","LED_0805_2012Metric",135.188960,-118.851680,0.000000,top
"LD4","U_LED_1","LED_0805_2012Metric",85.344000,-91.821000,0.000000,top
"LD5","U_LED_2","LED_0805_2012Metric",85.344000,-87.503000,0.000000,top
"LD6","U_LED_3","LED_0805_2012Metric",85.344000,-83.185000,0.000000,top
"LD7","U_LED_4","LED_0805_2012Metric",85.344000,-79.121000,0.000000,top
"MD1","RPi Compute Module","Conn_TE-DDR2-SODIMM-0.6-200P-doublesided",144.780000,-91.440000,90.000000,top
"Q1","S8050","SOT-23",185.902600,-92.882720,90.000000,top
"Q2","S8050","SOT-23",165.912800,-110.230920,180.000000,top
"R1","100k","R_0603_1608Metric",184.150000,-118.999000,180.000000,top
"R2","100k","R_0603_1608Metric",184.023000,-103.251000,180.000000,top
"R3","150k","R_0603_1608Metric",176.911000,-122.047000,90.000000,top
"R4","33k","R_0603_1608Metric",175.006000,-122.047000,270.000000,top
"R5","300k","R_0603_1608Metric",177.038000,-106.172000,90.000000,top
"R6","150k","R_0603_1608Metric",175.006000,-106.172000,270.000000,top
"R7","220","R_0603_1608Metric",169.418000,-124.714000,90.000000,top
"R8","100k","R_0603_1608Metric",186.512200,-88.328400,270.000000,top
"R9","330","R_0603_1608Metric",189.357000,-88.646000,270.000000,top
"R10","10k","R_0603_1608Metric",167.584120,-107.279440,0.000000,top
"R11","10k","R_0603_1608Metric",167.584120,-113.121440,180.000000,top
"R12","100","R_0603_1608Metric",161.417000,-132.842000,0.000000,top
"R13","1M","R_0603_1608Metric",107.823000,-107.442000,270.000000,top
"R14","10k","R_0603_1608Metric",113.731040,-99.974400,90.000000,top
"R15","10k","R_0603_1608Metric",115.285520,-99.969320,90.000000,top
"R16","10k","R_0603_1608Metric",105.216960,-103.124000,180.000000,top
"R17","10k","R_0603_1608Metric",110.581440,-99.959160,270.000000,top
